EXP_ID,Stage,Condition,Area,Circ.,AR,Round,Solidity
Batch1,DIV3,Control,69.624,0.76,2.01,0.498,0.878
Batch1,DIV3,Control,82.032,0.846,1.767,0.566,0.919
Batch1,DIV3,Control,91.682,0.8,1.853,0.54,0.905
Batch1,DIV3,Control,86.857,0.848,1.522,0.657,0.916
Batch1,DIV3,Control,73.76,0.971,1.29,0.775,0.939
Batch1,DIV3,Control,79.274,0.865,1.35,0.741,0.898
Batch1,DIV3,Control,37.224,0.993,1.222,0.818,0.939
Batch1,DIV3,Control,71.002,0.923,1.227,0.815,0.896
Batch1,DIV3,Control,81.342,0.898,1.487,0.672,0.933
Batch1,DIV3,Control,28.263,0.997,1.3,0.769,0.932
Batch1,DIV3,Control,100.644,0.736,1.955,0.512,0.851
Batch1,DIV3,Control,46.186,0.892,1.604,0.624,0.937
Batch1,DIV3,Control,91.682,0.862,1.557,0.642,0.905
Batch1,DIV3,Control,87.546,0.678,1.637,0.611,0.814
Batch1,DIV3,Control,116.499,0.638,2.209,0.453,0.816
Batch1,DIV3,Control,72.381,0.953,1.112,0.899,0.925
Batch1,DIV3,Control,35.156,0.921,1.171,0.854,0.872
Batch1,DIV3,Control,57.905,0.924,1.32,0.758,0.908
Batch1,DIV3,Control,44.118,0.857,1.583,0.632,0.848
Batch1,DIV3,Control,59.973,0.894,1.444,0.693,0.926
Batch1,DIV3,Control,53.769,0.902,1.552,0.644,0.934
Batch1,DIV3,Control,57.905,0.88,1.787,0.56,0.908
Batch1,DIV3,Control,57.905,0.863,1.711,0.585,0.928
Batch1,DIV3,Control,64.798,0.827,1.692,0.591,0.9
Batch1,DIV3,Control,68.934,0.731,2.246,0.445,0.858
Batch1,DIV3,Control,54.458,0.874,1.198,0.835,0.873
Batch1,DIV3,Control,62.041,0.859,1.186,0.843,0.874
Batch1,DIV3,Control,67.556,0.948,1.278,0.782,0.907
Batch1,DIV3,Control,148.209,0.637,2.076,0.482,0.887
Batch1,DIV3,Control,95.129,0.736,1.222,0.818,0.826
Batch1,DIV3,Control,131.664,0.544,2.721,0.368,0.794
Batch1,DIV3,Control,73.76,0.752,2.181,0.458,0.877
Batch1,DIV3,Control,78.585,0.858,1.553,0.644,0.901
Batch1,DIV3,Control,72.381,0.941,1.467,0.682,0.925
Batch1,DIV3,Control,74.449,0.58,3.328,0.3,0.871
Batch1,DIV3,Control,71.002,0.831,1.863,0.537,0.916
Batch1,DIV3,Control,72.381,0.781,2.118,0.472,0.871
Batch1,DIV3,Control,73.76,0.651,2.607,0.384,0.884
Batch1,DIV3,Control,71.692,0.932,1.507,0.664,0.912
Batch1,DIV3,Control,76.517,0.87,1.314,0.761,0.902
Batch1,DIV3,Control,66.177,0.834,1.561,0.64,0.893
Batch1,DIV3,Control,86.168,0.55,3.571,0.28,0.856
Batch1,DIV3,Control,65.487,0.84,1.557,0.642,0.872
Batch1,DIV3,Control,46.186,0.692,2.186,0.458,0.848
Batch1,DIV3,Control,37.914,0.91,1.628,0.614,0.924
Batch1,DIV3,Control,81.342,0.807,1.604,0.624,0.887
Batch1,DIV3,Control,73.07,0.831,1.894,0.528,0.898
Batch1,DIV3,Control,82.032,0.743,2.305,0.434,0.895
Batch1,DIV3,Control,70.313,0.955,1.421,0.704,0.932
Batch1,DIV3,Control,79.964,0.936,1.524,0.656,0.932
Batch1,DIV3,Control,84.1,0.834,1.824,0.548,0.9
Batch1,DIV3,Control,38.603,1,1.047,0.955,0.911
Batch1,DIV3,Control,73.07,0.92,1.285,0.778,0.91
Batch1,DIV3,Control,90.993,0.766,1.95,0.513,0.901
Batch1,DIV3,Control,93.751,0.679,2.776,0.36,0.875
Batch1,DIV3,Control,79.274,0.891,1.492,0.67,0.902
Batch1,DIV3,Control,74.449,0.846,1.331,0.751,0.882
Batch1,DIV3,Control,79.274,0.851,1.559,0.641,0.913
Batch1,DIV3,Control,86.857,0.656,2.455,0.407,0.866
Batch1,DIV3,Control,82.721,0.679,2.457,0.407,0.87
Batch1,DIV3,Control,89.614,0.711,2.256,0.443,0.867
Batch1,DIV3,Control,83.41,0.809,1.574,0.635,0.871
Batch1,DIV3,Control,77.206,0.878,1.687,0.593,0.914
Batch1,DIV3,Control,80.653,0.917,1.34,0.746,0.925
Batch1,DIV3,Control,75.828,0.888,1.499,0.667,0.913
Batch1,DIV3,Control,75.138,0.788,1.653,0.605,0.879
Batch1,DIV3,Control,86.857,0.896,1.426,0.701,0.923
Batch1,DIV3,Control,90.993,0.811,1.589,0.629,0.91
Batch1,DIV3,Control,85.478,0.825,1.708,0.586,0.905
Batch1,DIV3,Control,87.546,0.772,2.101,0.476,0.92
Batch1,DIV3,Control,86.857,0.635,2.738,0.365,0.863
Batch1,DIV3,Control,91.682,0.862,1.6,0.625,0.917
Batch1,DIV3,Control,94.44,0.647,2.925,0.342,0.884
Batch1,DIV3,Control,86.857,0.656,2.276,0.439,0.866
Batch1,DIV3,Control,87.546,0.764,2.015,0.496,0.891
Batch1,DIV3,Control,84.1,0.742,1.733,0.577,0.875
Batch1,DIV3,Control,83.41,0.86,1.595,0.627,0.92
Batch1,DIV3,Control,76.517,0.976,1.15,0.87,0.945
Batch1,DIV3,Control,79.274,0.901,1.122,0.891,0.916
Batch1,DIV3,Control,84.789,0.841,1.798,0.556,0.911
Batch1,DIV3,Control,133.732,0.864,1.128,0.886,0.907
Batch1,DIV3,Control,77.206,0.787,1.862,0.537,0.889
Batch1,DIV3,Control,71.692,0.932,1.509,0.663,0.92
Batch1,DIV3,Control,83.41,0.488,3.49,0.287,0.701
Batch1,DIV3,Control,88.925,0.746,1.969,0.508,0.912
Batch1,DIV3,Control,128.907,0.815,1.119,0.893,0.884
Batch1,DIV3,Control,90.304,0.724,2.399,0.417,0.891
Batch1,DIV3,Control,130.286,0.842,1.33,0.752,0.892
Batch1,DIV3,Control,70.313,0.746,2.261,0.442,0.864
Batch1,DIV3,Control,79.964,0.825,1.792,0.558,0.917
Batch1,DIV3,Control,41.361,0.936,1.376,0.727,0.889
Batch1,DIV3,Control,79.274,0.753,2.405,0.416,0.916
Batch1,DIV3,Control,49.633,0.943,1.294,0.773,0.911
Batch1,DIV3,Control,82.032,0.921,1.267,0.789,0.905
Batch1,DIV3,Control,70.313,0.955,1.138,0.878,0.927
Batch1,DIV3,Control,72.381,0.813,1.517,0.659,0.89
Batch1,DIV3,Control,79.964,0.883,1.427,0.701,0.917
Batch1,DIV3,Control,81.342,0.685,2.495,0.401,0.84
Batch1,DIV3,Control,76.517,0.923,1.359,0.736,0.914
Batch1,DIV3,Control,79.964,0.793,2,0.5,0.913
Batch1,DIV3,Control,67.556,0.918,1.456,0.687,0.929
Batch1,DIV3,Control,37.224,1,1.072,0.933,0.9
Batch1,DIV3,Control,40.671,0.976,1.462,0.684,0.937
Batch1,DIV3,Control,31.02,0.97,1.249,0.8,0.918
Batch1,DIV3,Control,74.449,0.747,2.184,0.458,0.915
Batch1,DIV3,Control,64.798,0.759,1.749,0.572,0.855
Batch1,DIV3,Control,92.372,0.859,1.443,0.693,0.893
Batch1,DIV3,Control,75.828,0.828,1.811,0.552,0.909
Batch1,DIV3,Control,80.653,0.587,3.318,0.301,0.907
Batch1,DIV3,Control,86.168,0.708,2.436,0.411,0.883
Batch1,DIV3,Control,65.487,0.89,1.19,0.841,0.905
Batch1,DIV3,Control,77.896,0.871,1.041,0.961,0.926
Batch1,DIV3,Control,123.392,0.78,1.941,0.515,0.909
Batch1,DIV3,Control,31.71,0.992,1.106,0.904,0.92
Batch1,DIV3,Control,88.236,0.925,1.151,0.869,0.905
Batch1,DIV3,Control,123.392,0.79,1.474,0.678,0.873
Batch1,DIV3,Control,113.741,0.618,2.119,0.472,0.813
Batch1,DIV3,Control,75.138,0.854,1.813,0.552,0.924
Batch1,DIV3,Control,59.973,0.925,1.4,0.714,0.93
Batch1,DIV3,Control,53.769,0.889,1.637,0.611,0.902
Batch1,DIV3,Control,60.662,0.968,1.181,0.846,0.926
Batch1,DIV3,Control,48.254,0.87,1.451,0.689,0.897
Batch1,DIV3,Control,62.041,0.714,2.475,0.404,0.909
Batch1,DIV3,Control,57.215,0.98,1.264,0.791,0.917
Batch1,DIV3,Control,53.079,0.957,1.17,0.855,0.922
Batch1,DIV3,Control,71.002,0.935,1.062,0.941,0.92
Batch1,DIV3,Control,59.973,0.957,1.314,0.761,0.93
Batch1,DIV3,Control,66.866,0.817,1.555,0.643,0.886
Batch1,DIV3,Control,32.399,1,1.228,0.814,0.931
Batch1,DIV3,Control,73.07,0.882,1.188,0.842,0.902
Batch1,DIV3,Control,56.526,0.793,2.029,0.493,0.877
Batch1,DIV3,Control,35.846,1,1.022,0.979,0.92
Batch1,DIV3,Control,59.283,0.901,1.713,0.584,0.915
Batch1,DIV3,Control,75.138,0.935,1.355,0.738,0.908
Batch1,DIV3,Control,57.215,0.882,1.452,0.688,0.902
