EXP_ID,GENOTYPE,CONDITION,TRACK_MEAN_SPEED (um/min),TRACK_MAX_SPEED (um/min),TRACK_DURATION (min),TRACK_DISPLACEMENT (um),TOTAL_DISTANCE_TRAVELED (um),CONFINEMENT_RATIO
Batch1,NEUR1,Control,0.255078872,0.794674839,300,1.945306172,76.06887189,0.025572959
Batch1,NEUR1,Control,0.289977801,0.301646251,10,2.27780286,2.89977801,0.785509391
Batch1,NEUR1,Control,0.216651088,0.582762779,270,14.37906609,58.49579389,0.245813675
Batch1,NEUR1,Control,0.179947215,0.257403662,30,1.97314027,5.398416441,0.365503531
Batch1,NEUR1,Control,0.195674996,0.852886744,215,1.515214287,42.07012424,0.036016397
Batch1,NEUR1,Control,0.168029944,0.188658579,15,1.835996806,2.520449159,0.728440326
Batch1,NEUR1,Control,0.382058152,0.807742781,165,45.2757287,63.10443464,0.717473011
Batch1,NEUR1,Control,0.110162265,0.110162265,5,0.550811324,0.550811324,1
Batch1,NEUR1,Control,0.090800048,0.136200072,15,0,1.362000725,0
Batch1,NEUR1,Control,0.27112338,0.776438803,170,6.20747858,46.09097462,0.134678831
Batch1,NEUR1,Control,0.48154457,0.944809276,60,11.80610196,27.03180172,0.436748615
Batch1,NEUR1,Control,0,0,5,0,0,
Batch1,NEUR1,Control,0.397225623,1.253712556,125,31.77986356,49.65320285,0.640036528
Batch1,NEUR1,Control,0.102150054,0.408600217,110,7.491003985,11.57700616,0.647058824
Batch1,NEUR1,Control,0.32220868,0.693940066,95,15.48679511,32.01691716,0.48370663
Batch1,NEUR1,Control,0.360800402,0.520174068,20,1.029266832,7.216008049,0.142636597
Batch1,NEUR1,Control,0.339501549,0.537346673,60,17.72927387,20.37009295,0.870358025
Batch1,NEUR1,Control,0.226224704,0.319484425,35,2.967797505,7.917864632,0.374822966
Batch1,NEUR1,Control,0.207603803,0.608662029,300,2.26371943,62.28114091,0.036346788
Batch1,NEUR1,Control,0.289246061,0.605474612,300,17.54026724,86.77381825,0.202137783
Batch1,NEUR1,Control,0.218173331,0.257934155,10,2.178494663,2.181733309,0.998515563
Batch1,NEUR1,Control,0.257982368,0.475577292,155,3.14748719,39.98726707,0.078712236
Batch1,NEUR1,Control,0.258729311,0.809367699,300,8.839791121,77.6187933,0.113887253
Batch1,NEUR1,Control,0.340966578,0.791031119,300,25.6587269,103.0710681,0.248942088
Batch1,NEUR1,Control,0.425701864,2.143770812,300,88.66567873,127.7105591,0.694270539
Batch1,NEUR1,Control,0.253427292,0.73439915,300,4.566285884,78.43304675,0.058218902
Batch1,NEUR1,Control,0.34362304,1.474472563,300,73.81632552,103.0869119,0.71605914
Batch1,NEUR1,Control,0.497218676,1.869181364,300,15.64110432,149.1656027,0.104857313
Batch1,NEUR1,Control,0.285423147,0.61723947,140,7.907655189,35.7356887,0.221281735
Batch1,NEUR1,Control,0.268414476,0.652726148,300,39.14315287,80.52434286,0.486103351
Batch1,NEUR1,Control,0.267261389,0.622804741,300,10.04655196,80.17841664,0.125302449
Batch1,NEUR1,Control,0.285575558,0.875281944,300,3.183386372,85.67266751,0.037157549
Batch1,NEUR1,Control,0.293650483,0.884613791,300,18.63067159,88.09514488,0.211483523
Batch1,NEUR1,Control,0.262931424,0.830699906,300,20.79104068,78.87942708,0.263580016
Batch1,NEUR1,Control,0.307942607,1.012543484,300,27.83386092,92.38278222,0.301288403
Batch1,NEUR1,Control,0.273965076,0.637597414,300,33.93625742,82.18952291,0.412902475
Batch1,NEUR1,Control,0.278992068,0.702106322,300,9.333918656,83.69762033,0.111519523
Batch1,NEUR1,Control,0.253665085,0.614528655,300,1.739185982,76.09952549,0.022854098
Batch1,NEUR1,Control,0.320015068,1.256674861,300,15.75587472,96.00452045,0.164115967
Batch1,NEUR1,Control,0.264357767,0.803667223,300,10.56743216,79.30733015,0.133246601
Batch1,NEUR1,Control,0.277817882,0.649834859,300,18.88978996,83.34536459,0.226644758
Batch1,NEUR1,Control,0.291853304,0.730249411,160,7.516641135,42.42229103,0.17718612
Batch1,NEUR1,Control,0.209411613,0.518220496,300,5.954716903,62.82348389,0.094784888
Batch1,NEUR1,Control,0.249738966,0.690937539,300,13.66835581,74.92168993,0.182435231
Batch1,NEUR1,Control,0.258675585,0.752820695,300,23.27663829,77.60267537,0.299946338
Batch1,NEUR1,Control,0.215803725,0.263526321,20,2.051266963,4.026694446,0.509417089
Batch1,NEUR1,Control,0.239896089,0.702342376,300,6.967127862,71.96882658,0.096807579
Batch1,NEUR1,Control,0.245547031,0.540986909,300,20.08419122,73.66410943,0.272645544
Batch1,NEUR1,Control,0.255386202,0.813779005,300,1.669890942,76.61586068,0.02179563
Batch1,NEUR1,Control,0.28537158,0.817200435,105,4.086002174,29.96401594,0.136363636
Batch1,NEUR1,Control,0.389057122,1.589869855,300,10.62771396,116.7171365,0.091055301
Batch1,NEUR1,Control,0.221934468,0.494161203,300,3.281527718,66.58034051,0.049286737
Batch1,NEUR1,Control,0.247275498,1.428400764,300,17.36133032,74.18264931,0.234034919
Batch1,NEUR1,Control,0.210506227,0.511626361,300,6.107458997,63.15186802,0.096710663
Batch1,NEUR1,Control,0.178525442,0.442668425,300,1.091834051,53.55763274,0.020386152
Batch1,NEUR1,Control,0.225177749,0.535758509,300,2.890832199,66.75863584,0.043302745
Batch1,NEUR1,Control,0.276473607,0.71243456,300,2.179316898,82.94208197,0.026275165
Batch1,NEUR1,Control,0.279070415,0.994905114,300,15.53430456,83.72112435,0.185548208
Batch1,NEUR1,Control,0.254732503,0.634356236,300,14.37098161,76.41975076,0.188053238
Batch1,NEUR1,Control,0.289410063,0.656524372,90,3.486220156,26.04690566,0.133843928
Batch1,NEUR1,Control,0.308762452,0.843401476,300,37.22506494,92.62873571,0.401873832
Batch1,NEUR1,Control,0.204564883,0.497787281,155,4.141521171,31.4077407,0.131863072
Batch1,NEUR1,Control,0.219851329,0.469206816,300,9.820997867,65.95539867,0.148903624
Batch1,NEUR1,Control,0.576653763,2.002756919,200,27.74296023,115.3307526,0.240551281
Batch1,NEUR1,Control,0.241220401,0.617072984,300,4.8886487,72.36612021,0.067554384
Batch1,NEUR1,Control,0.224388994,0.509625523,300,11.6640387,67.3166982,0.173271105
Batch1,NEUR1,Control,0.224860048,0.578549834,300,12.91711739,67.45801443,0.191483807
Batch1,NEUR1,Control,0.310664702,2.701245912,300,25.53502929,93.1994107,0.273982733
Batch1,NEUR1,Control,0.074328226,0.074328226,5,0.371641129,0.371641129,1
Batch1,NEUR1,Control,0.272402855,0.856963029,300,19.13995365,81.72085643,0.234211369
Batch1,NEUR1,Control,0.291572935,2.500241893,300,13.20954896,87.47188035,0.151014805
Batch1,NEUR1,Control,0.255502781,0.951113257,300,16.02974612,76.65083418,0.209126832
Batch1,NEUR1,Control,0.331989354,1.284813671,115,2.198440078,37.21197234,0.059078838
Batch1,NEUR1,Control,0.30228473,0.998405112,300,3.998359557,90.6854189,0.044090435
Batch1,NEUR1,Control,0.247050201,0.861860954,300,5.574928856,74.11506034,0.075219919
Batch1,NEUR1,Control,0.25441149,0.557337648,70,7.415796079,18.2663848,0.405980503
Batch1,NEUR1,Control,0.24835654,0.831654705,300,7.804161673,74.35636809,0.104956198
Batch1,NEUR1,Control,0.406231192,1.405686197,300,61.62127983,121.8693577,0.50563391
Batch1,NEUR1,Control,0.240307261,0.678643679,300,6.224068836,72.09217836,0.08633487
Batch1,NEUR1,Control,0.205638579,0.520689024,300,5.317175225,61.69157368,0.086189651
Batch1,NEUR1,Control,0.221932916,0.705866159,300,2.065980405,66.57987493,0.031030103
Batch1,NEUR1,Control,0.210503895,0.48888987,300,4.892072544,63.15116864,0.077466065
Batch1,NEUR1,Control,0.253603097,0.691084346,300,9.645254879,76.08092907,0.12677625
Batch1,NEUR1,Control,0.247037812,0.741489591,300,2.75354848,74.11134375,0.037154211
Batch1,NEUR1,Control,0.269817969,0.550566997,300,14.36621722,80.94539068,0.177480362
Batch1,NEUR1,Control,0.247915528,0.634306892,300,13.36770328,74.37465853,0.179734651
Batch1,NEUR1,Control,0.25114225,0.719653337,300,2.877992554,75.34267486,0.038198704
Batch1,NEUR1,Control,0.275818371,0.652376509,300,19.22633835,82.44124613,0.233212612
Batch1,NEUR1,Control,0.198110807,0.459178739,300,1.201008916,59.43324205,0.020207696
Batch1,NEUR1,Control,0.255714617,0.677516124,300,9.980710951,76.71438501,0.130102209
Batch1,NEUR1,Control,0.237321019,0.507203416,235,0.30957076,55.77043957,0.005550804
Batch1,NEUR1,Control,0.295249828,0.950486108,300,21.69273685,88.57494849,0.244908264
Batch1,NEUR1,Control,0.293523491,0.953400507,150,17.55801205,43.81729023,0.400709673
Batch1,NEUR1,Control,0.349782534,0.953267693,300,17.70600942,104.9347603,0.1687335
Batch1,NEUR1,Control,0.263387665,0.684205801,300,22.41344092,76.59773547,0.292612318
Batch1,NEUR1,Control,0.38619955,0.885448753,115,6.616721761,44.41294827,0.148981818
Batch1,NEUR1,Control,0.240376832,0.759607821,300,21.58664319,72.11304964,0.299344478
Batch1,NEUR1,Control,0.264516511,0.439158855,150,9.605355484,39.67747664,0.242085846
Batch1,NEUR1,Control,0.27666487,0.875763324,240,25.03472258,63.78561268,0.392482278
Batch1,NEUR1,Control,0.298120956,1.069289064,300,12.62828575,89.43628684,0.141198681
Batch1,NEUR1,Control,0.262013645,0.737012253,300,7.501091722,78.6040936,0.095428767
Batch1,NEUR1,Control,0.248166041,0.519555963,180,3.588714484,44.66988733,0.080338561
Batch1,NEUR1,Control,0.136200072,0.136200072,5,0.681000362,0.681000362,1
Batch1,NEUR1,Control,0.212164996,0.522145819,300,1.38226282,63.64949879,0.02171679
Batch1,NEUR1,Control,0.255288359,0.474616005,40,3.167523182,10.21153436,0.310190719
Batch1,NEUR1,Control,0.2961275,0.679392616,300,25.8724413,88.83825013,0.291230875
Batch1,NEUR1,Control,0.28087373,0.592055614,300,8.082967358,83.96251799,0.096268758
Batch1,NEUR1,Control,0.247718549,0.604342947,300,8.084735712,74.31556482,0.108789265
Batch1,NEUR1,Control,0.272704255,0.691356109,300,7.978022503,81.81127645,0.097517394
Batch1,NEUR1,Control,0.296962957,0.693477967,95,3.026493378,28.21148095,0.107278784
Batch1,NEUR1,Control,0.169090503,0.352639315,40,0.374797341,6.763620117,0.055413718
Batch1,NEUR1,Control,0.279298762,0.635820787,300,23.10843831,83.78962856,0.275791153
Batch1,NEUR1,Control,0.275786774,0.714302109,300,12.87599405,82.73603213,0.155627406
Batch1,NEUR1,Control,0.330980617,1.341622186,290,52.82622564,95.984379,0.550362738
Batch1,NEUR1,Control,0.257197525,0.586863109,300,28.87043931,77.15925744,0.374166889
Batch1,NEUR1,Control,0.219863179,0.526613962,300,7.962794171,65.95895358,0.120723476
Batch1,NEUR1,Control,0.250275933,0.474873473,115,9.344030685,28.67003664,0.325916245
Batch1,NEUR1,Control,0.242287056,0.507831649,300,7.269791767,72.68611668,0.100016236
Batch1,NEUR1,Control,0.401167783,1.366808171,90,22.25250354,36.10510047,0.616325762
Batch1,NEUR1,Control,0.168241176,0.279100478,35,3.549803529,5.888441167,0.602842659
Batch1,NEUR1,Control,0.207076197,0.390580662,30,2.248520203,6.212285907,0.361947315
Batch1,NEUR1,Control,0.331987677,0.54480029,35,12.25800652,12.25800652,1
Batch1,NEUR1,Control,0.353247361,0.723669785,135,2.259421097,47.68839377,0.047378847
