EXP_ID,Condition,Stage,Marker,Area cells,Mean in Cells,Mean/Area,Mean in FOV
Batch1,Control,DIV7,Tubb3,138146.766,5315.072,0.038474096,1768.993
Batch1,Control,DIV7,Tubb3,150530.781,4865.233,0.032320519,1775.071
Batch2,Control,DIV3,Tubb3,322347.719,2709.2,0.008404589,1419.378
Batch2,Control,DIV3,Tubb3,342929.375,2526.23,0.007366619,1383.382
Batch2,Control,DIV3,Tubb3,337216.812,1926.786,0.00571379,1043.607
Batch2,Control,DIV3,Tubb3,432815.375,1565.802,0.003617713,1076.815
Batch2,Control,DIV3,Tubb3,131249.906,2656.911,0.020243146,656.287
Batch2,Control,DIV3,Tubb3,299509.156,1750.708,0.005845257,869.244
Batch2,Control,DIV3,Tubb3,524851.375,1170.568,0.002230285,929.618
Batch2,Control,DIV3,Tubb3,525884.688,1267.178,0.002409612,1003.736
Batch2,Control,DIV3,Tubb3,136264.172,12751.353,0.093578178,3156.443
Batch2,Control,DIV3,Tubb3,106437.062,13143.238,0.12348366,2573.959
Batch2,Control,DIV3,Tubb3,216841.281,5495.662,0.025344169,2087.064
Batch2,Control,DIV3,Tubb3,106932.008,9371.082,0.087635893,1932.951
Batch2,Control,DIV7,Tubb3,608932.438,1929.093,0.003167992,1748.456
Batch2,Control,DIV7,Tubb3,354850.875,1594.441,0.004493271,1060.208
Batch2,Control,DIV7,Tubb3,644299.75,1471.873,0.002284454,1385.794
Batch2,Control,DIV7,Tubb3,662073.062,1547.806,0.002337818,1470.117
Batch2,Control,DIV7,Tubb3,140185.828,2176.271,0.015524187,757.417
Batch2,Control,DIV7,Tubb3,312428.781,1904.377,0.006095396,1161.225
Batch2,Control,DIV7,Tubb3,332895.344,1495.903,0.004493613,927.284
Batch2,Control,DIV7,Tubb3,268522.562,1405.825,0.005235407,778.482
Batch2,Control,DIV7,Tubb3,457262.844,2303.523,0.005037634,1841.714
Batch2,Control,DIV7,Tubb3,257219.453,1710.772,0.006651021,990.149
Batch2,Control,DIV7,Tubb3,209790.688,1750.503,0.008344045,916.93
Batch2,Control,DIV7,Tubb3,444481.094,1958.063,0.004405278,1531.793
Batch2,DZ-2384,DIV3,Tubb3,21681.164,5117.057,0.236013943,335.845
Batch2,DZ-2384,DIV3,Tubb3,25431.869,2681.904,0.10545446,243.713
